BMP8A	BMPR2
BMP8A	TGFBR1
BMP8A	TGFBR2
BMP8B	ACVR1
BMP8B	ACVR2A
BMP8B	ACVR2B
BMP8B	BMPR1A
BMP8B	BMPR1B
BMP8B	BMPR2
BMP10	ACVR1
BMP10	ACVR2A
BMP10	ACVR2B
BMP10	ACVRL1
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP10	ENG
BMP10	FFAR2
BMP10	GPR152
BMP15	ACVR1
BMP15	ACVR2A
BMP15	ACVR2B
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP15	TGFBR1
BPI	SLAMF9
BSG	SELE
BSG	SLC16A1
BSG	SLC16A7
BST2	LILRA4
BTC	EGFR
BTC	ERBB2
BTC	ERBB3
BTC	ERBB4
BTC	GSK3A
BTC	GSK3B
BTC	MAPK3
BTLA	CD79A
BTLA	CD247
BTLA	TNFRSF14
BTLA	VTCN1
BTN1A1	NEGR1
BTN1A1	TARM1
C1ORF112	PLSCR4
C1ORF194	PLSCR4
C1QA	CD33
C1QA	CD93
C1QA	CSPG4
C1QB	CD33
C1QB	LRP1
C1QL1	GRIA1
C1QTNF1	AVPR2
C1QTNF4	STAT3
C1QTNF5	MFRP
C2	CR1
C3	C3AR1
C3	C5AR2
C3	CD19
C3	CD46
C3	CD81
C3	CR1
C3	CR2
C3	IFITM1
C3	ITGAM
C3	ITGAX
C3	ITGB2
C3	LRP1
C3	NRP1
C4A	C3AR1
C4A	C5AR2
C4A	CD46
C4A	CR1
C4A	NRP1
C4BPA	BMPR2
C4BPA	CD40
C4BPA	LRP1
C4B	C3
C4B	C3AR1
C4B	C5AR2
C4B	CD46
C4B	CR1
C4B	NRP1
C5	C5AR1
C5	C5AR2
C6ORF15	DDR1
CACNA2D3	CACNA1C
CACNA2D3	CACNG1
CACNA2D3	CACNG2
CACNA2D3	CACNG3
CACNA2D3	CACNG4
CACNA2D3	CACNG5
CACNA2D3	CACNG6
CACNA2D3	CACNG7
CACNA2D3	CACNG8
CADM1	CADM1
CADM1	CADM3
CADM1	CRTAM
CADM1	NECTIN3
CADM3	CADM1
CADM3	CADM3
CADM3	NECTIN1
CADM3	NECTIN3
CALCA	ADCYAP1R1
CALCA	ADRB2
CALCA	ADRB3
CALCA	CALCR
CALCA	CALCRL
CALCA	GPR20
CALCA	GPR84
CALCA	PTH1R
CALCA	RAMP1
CALCA	RAMP2
CALCA	RAMP3
CALCA	TSHR
CALCA	VIPR1
CALCB	CALCR
CALCB	CALCRL
CALCB	RAMP1
CALML3	ADCY1
CALML3	ADCY3
CALML3	ADCY8
CALML3	CAMK2A
CALML3	CAMK2B
CALML3	CAMK2D
CALML3	CAMK2G
CALML3	MYLK
CALML3	MYLK2
CALML3	MYLK3
CALML5	CAV1
CALR	AR
CALR	BDKRB2
CALR	CANX
CALR	HLA-B
CALR	HLA-F
CALR	ITGA2B
CALR	ITGA3
CALR	ITGAV
CALR	LRP1
CALR	MPL
CALR	MTNR1A
CALR	P4HB
CALR	PDIA3
CALR	SCARF1
CALR	STX4
